name,url,company number,companies house name,companies house address,incorporation date,company status,company type,digital growth score,digitisation score,reading ease,internal links,accessibility issues - minor,accessibility issues - moderate,accessibility issues - serious,lighthouse accessibility,lighthouse performance,lighthouse seo
St Winifredâ€™s Well,http://www.stwinefrideswell.org.uk/,11102677,ADELE STICKLAND WELLBEING CONSULTANT LTD,"Whyfield Ground Floor Building A Truro Business Park, Threemilestone, Truro, England, TR4 9LF",2017-12-08,Active,Private limited Company,3.09,23,72.73,26,1,3,1,1,0.52,0.52
Storiel Tredegar House ,https://www.storiel.cymru/,13546902,TREDEGAR HOUSE LIMITED,"Flat 1 135 Tredegar Road, London, United Kingdom, E3 2EU",2021-08-04,Active,Private limited Company,73.74,48,58.48,1,1,3,1,0.95,0.77,0.77
Swansea Museum ,http://www.swanseamuseum.co.uk/,4255473,NATIONAL WATERFRONT MUSEUM SWANSEA,"National Waterfront Museum, Oystermouth Road, Maritime Quarter, Swansea, SA1 3RD",2001-07-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,162.42,27,60.82,0,,3,2,0.92,0.47,0.47
Tenby Museum and Art Gallery ,https://tenbymuseum.org.uk/,,,,,,,-22.11,31,63.56,0,,1,2,0.95,0.67,0.67
The Regimental Museum of The Royal Welsh ,https://royalwelshmuseum.wales/,7769242,THE ROYAL WELSH REGIMENTAL MUSEUM TRUST,"The Regimental Museum The Barracks, The Watton, Brecon, Powys, LD3 7EB",2011-09-09,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,92.39,49,62.44,2,,2,1,0.98,0.2,0.2
Tredegar and District Museum,http://tredegarmuseum.co.uk/,4240988,THE AXBRIDGE AND DISTRICT MUSEUM TRUST,"36 Houlgate Way, Axbridge, Somerset, BS26 2BY",2001-06-26,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,,20,62.85,0,,2,2,0.86,0.96,0.96
Tredegar House and Park,https://www.nationaltrust.org.uk/visit/wales/tredegar-house,7160557,PARKER MOTORS (TREDEGAR) LIMITED,"C/o Cooper Healey, Rabart House Pant Industrial Estate, Dowlais, Merthyr Tydfil, Mid Glamorgan, CF48 2SR",2010-02-17,Active,Private limited Company,7795.49,36,75.1,193,1,2,,0.79,0.23,0.23
Tudor Merchants House ,https://www.nationaltrust.org.uk/visit/wales/tudor-merchants-house,7987712,HENRY TUDOR HOUSE LIMITED,"Caerwyn Jones Chartered Accountants Emstrey House, Shrewsbury Business Park, Shrewsbury, Shropshire, England, SY2 6LG",2012-03-13,Active,Private limited Company,7795.49,38,76.52,180,1,2,,0.79,0.27,0.27
Ty Mawr Wybrnant,https://www.nationaltrust.org.uk/visit/wales/ty-mawr-wybrnant,7018675,CALCH TY MAWR LIME LIMITED,"Unit 12 Brecon Enterprise Park, Brecon Enterprise Park Warren Road, Brecon, Powys, LD3 8BT",2009-09-15,Active,Private limited Company,7795.49,34,75.5,183,1,2,,0.79,0.24,0.24
"University of South Wales, Art Collection Museum",https://gallery.southwales.ac.uk/about-collection/,2905150,"UNIVERSITY OF WALES, NEWPORT ENTERPRISES LIMITED","Finance Department, Treforest, Pontypridd, Mid Glamorgan, CF37 1DL",1994-03-07,Dissolved,Private limited Company,5.52,37,51.28,3,,2,1,0.94,0.47,0.47
West Wales Maritime Heritage Society ,https://www.wwmhs.org.uk/,2611959,WEST WALES MARITIME HERITAGE,"Hancocks Yard, Front Street, Pembroke Dock, Wales, SA72 6JY",1991-05-17,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,16.61,39,75.4,42,,3,2,0.75,0.43,0.43
Winding House Museum,https://www.thewindinghouse.co.uk/en/,9182708,THE WINDING HOUSE COMPANY LIMITED,"The Winding House Singledge Lane, Coldred, Dover, Kent, CT15 5AG",2014-08-20,Active,Private limited Company,14.43,11,69.07,0,1,2,4,0.77,0.31,0.31
Wireless in Wales,http://wirelessinwales.org.uk/,5329069,WIRELESS WALES LTD,"14 Wychwood Close, Langland, Swansea, Swansea, SA3 4PH",2005-01-11,Dissolved,Private limited Company,11.66,29,70.33,30,,3,1,0.93,0.65,0.65
Wrexham County Borough Museum & Archives ,https://www.wrexhamheritage.wales/archives/,5166704,HOME-START COUNTY BOROUGH OF WREXHAM,"The Salvation Army Premisies, Garden Road Rhosddu, Wrexham, LL11 2NU",2004-06-30,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,37.31,7,63.09,0,1,4,3,0.84,0.33,0.33
Yr Ysgwrn,https://yrysgwrn.com/en/,12549559,ADAM YN YR ARDD CYF.,"45 Penygroes Road, Gorslas, Llanelli, Wales, SA14 7LD",2020-04-07,Active,Private limited Company,33.54,38,55.74,4,,1,1,0.77,0.42,0.42
