name,url,company number,companies house name,companies house address,incorporation date,company status,company type,digital growth score,digitisation score,reading ease,internal links,accessibility issues - minor,accessibility issues - moderate,accessibility issues - serious,lighthouse accessibility,lighthouse performance,lighthouse seo
Conwy Museum Service ,http://www.conwy.com/,1205996,CONWY VALLEY RAILWAY MUSEUM LIMITED,"3rd Floor, International House, 20 Hatherton Street, Walsall, West Midlands, England, WS4 2LA",1975-04-03,Active,Private limited Company,8.83,12,70.63,0,1,3,3,0.69,0.28,0.28
Conwy Toll House ,https://www.nationaltrust.org.uk/visit/wales/conwy-suspension-bridge,13369252,DIDSBURY PARK INVESTMENTS LIMITED,"11 Didsbury Park, Manchester, United Kingdom, M20 5LH",2021-04-30,Active,Private limited Company,7795.49,33,76.52,172,2,2,,0.79,0.28,0.28
Cowbridge & District Museum,http://www.cowbridgemuseum.org.uk/,10525715,COWBRIDGE,"Midway House Herrick Way, Staverton, Cheltenham, England, GL51 6TQ",2016-12-14,Active,Private unlimited company,18.69,13,81.73,12,1,2,3,0.48,0.47,0.47
Cyfarthfa Castle Museum and Art Gallery ,https://www.visitmerthyr.co.uk/things-to-do/attractions/cyfarthfa-museum-art-gallery,,,,,,,61.32,30,59.3,86,,3,2,0.93,0.18,0.18
Cynon Valley Museum,https://cynonvalleymuseum.wales/,,,,,,,54.66,30,67.65,0,2,3,4,0.77,0.23,0.23
Denbigh Museum ,,8179609,DENBIGH MUSEUM / AMGUEDDFA DINBYCH,"Church House, High Street, St Asaph, Denbighshire, LL17 0RD",2012-08-14,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,,ERROR,,,,,,,,
Dinefwr Park and Castle,https://www.nationaltrust.org.uk/visit/wales/dinefwr,11536859,MYNYDD MAWR AND DINEFWR ACADEMY LTD,"Ger Y Nant, Llandybie, Ammanford, Wales, SA18 3LZ",2018-08-25,Active,Private company limited by guarantee without share capital,7795.49,36,74.9,188,1,2,,0.79,0.25,0.25
Ebbw Vale Works Archival Trust,http://evwat.co.uk/,4084014,EBBW VALE AND DISTRICT TRUST,"5-6 Waterside Court, Albany Street, Newport, South Wales, NP20 5NT",2000-10-04,Dissolved,Private Limited Company by guarantee without share capital use of 'Limited' exemption,20.3,12,62.58,12,3,2,3,0.82,0.26,0.26
Egypt Centre - Swansea University ,https://www.egypt.swan.ac.uk/,,,,,,,74.07,15,55.4,2,2,2,2,0.82,0.1,0.1
Erddig ,https://www.nationaltrust.org.uk/visit/wales/erddig,10388338,ERDDIG LIMITED,"Office 7 37-39 Shakespeare Street, Southport, Merseyside, United Kingdom, PR8 5AB",2016-09-21,Dissolved,Private limited Company,7795.49,38,74.19,200,1,2,,0.79,0.22,0.22
Firing Line Museum ,https://cardiffcastlemuseum.org.uk/,6774535,FIRING LINE LTD,"Cardiff Castle, Castle Street, Cardiff, CF10 3RB",2008-12-16,Active,Private company limited by guarantee without share capital,119.24,29,65.12,0,,4,2,0.88,0.55,0.55
Glynn Vivian Art Gallery ,https://www.glynnvivian.co.uk/,90484,GLYNN VIVIAN MINER'S MISSION(INCORPORATED 1906)(THE),"5 Old Rectory Court, 61 Wood Street, Barnet, England, EN5 4BL",1906-10-18,Active,Private company limited by guarantee without share capital,114.16,35,61.63,0,2,3,2,0.87,0.44,0.44
Greenfield Valley ,https://greenfieldvalley.com/,2086274,GREENFIELD VALLEY TRUST,"Basingwerk House Greenfield Valley, Greenfield, Holywell, Flintshire, United Kingdom, CH8 7GH",1986-12-30,Active,Private company limited by guarantee without share capital,8.17,26,66.64,0,2,3,2,0.86,0.35,0.35
Haverfordwest Town Museum,https://haverfordwest-town-museum.org.uk/,,,,,,,0.25,32,70.5,0,1,3,1,0.85,0.61,0.61
Hay Castle Trust ,https://www.haycastletrust.org/,7639471,HAY CASTLE TRUST LIMITED,"Hay Castle, Oxford Road, Hay-On-Wye, Hereford, HR3 5DG",2011-05-18,Active,Private company limited by guarantee without share capital,26.15,41,76.82,43,,4,2,0.86,0.61,0.61
Holyhead Maritime Museum ,http://holyheadmaritimemuseum.co.uk/,1785592,HOLYHEAD MARITIME MUSEUM LTD,"Holyhead Maritime Museum Ltd, Old Lifeboat Station, Newry Beach, Holyhead, Anglesey, LL65 1YD",1984-01-24,Active,Private company limited by guarantee without share capital,22.25,16,69.28,37,,3,2,0.69,0.65,0.65
Internal Fire: Museum of Power,https://www.internalfire.com/,5016566,INTERNAL FIRE MUSEUM OF POWER,"Castell Pridd Farm, Tanygroes, Cardigan, Ceredigion, SA43 2JS",2004-01-15,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,67.88,19,65.93,5,1,3,4,0.83,0.07,0.07
Joseph Parryâ€™s Cottage and Museum,NO WEBSITE,5657914,WOODHALL SPA COTTAGE MUSEUM,"The Bungalow, Iddesleigh Road, Woodhall Spa, England, LN10 6SH",2005-12-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,,ERROR,,,,,,,,
Judgeâ€™s Lodging ,https://www.judgeslodging.org.uk/,11982936,JUDGES LODGINGS LTD,"105 Eastgate Street, Gloucester, England, GL1 1PY",2019-05-07,Active,Private limited Company,10.19,35,82.54,5,1,2,2,0.76,0.69,0.69
Kidwelly Industrial Museum ,http://kidwellyindustrialmuseum.org.uk/,8422411,CALDERDALE INDUSTRIAL MUSEUM ASSOCIATION,"Calderdale Industrial Museum, Square Road, Halifax, England, HX1 1QG",2013-02-27,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,49.62,49,57.47,0,1,,1,0.97,0.58,0.58
Llandovery Museum,https://www.llandoverymuseum.wales/,11264611,ARIYAN (LLANDOVERY) LIMITED,"1 Market Square, Llandovery, United Kingdom, SA20 0AB",2018-03-20,Active,Private limited Company,3.61,3,70.8,7,1,3,5,0.62,0.24,0.24
Llandudno Museum ,https://llandudnomuseum.co.uk/,,,,,,,39.31,29,65.32,0,2,1,2,0.96,0.53,0.53
"Llanerchaeron Museum of Modern Art, Machynlleth ",https://www.nationaltrust.org.uk/visit/wales/llanerchaeron,868757,MUSEUM OF MODERN ART LIMITED,"30 Pembroke St, Oxford, OX1 1BP",1966-01-12,Active,Private company limited by guarantee without share capital,7795.49,40,66.33,189,1,2,,0.79,0.25,0.25
Llangollen Museum,http://www.llangollenmuseum.org.uk/,4928571,LLANGOLLEN MUSEUM,"Parade Street, Llangollen, Denbighshire, LL20 8PW",2003-10-10,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,7.41,13,75.91,18,,3,4,0.42,0.68,0.68
Llanidloes Museum ,https://en.powys.gov.uk/llanidloesmuseum,12518873,CAFE ROSE LLANIDLOES LTD,"214 Horsley Heath, Tipton, West Midlands, England, DY4 7QP",2020-03-16,Active,Private limited Company,2524.44,76,65.32,20,,,,1,0.63,0.63
Lloyd George Museum ,NO WEBSITE,,,,,,,,ERROR,,,,,,,,
LlÅ·n Maritime Museum,https://www.llyn-maritime-museum.co.uk/eng/,6889700,CARDIGAN AND DISTRICT AGRICULTURAL & MARITIME MUSEUM,"Cwmarch, Penparc, Cardigan, Dyfed, SA43 2AB",2009-04-28,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,10.01,6,70.9,0,,2,5,0.51,0.17,0.17
Menai Heritage,https://menaibridges.co.uk/,3469982,MENAI BRIDGE COMMUNITY HERITAGE TRUST LIMITED,"Canolfan Thomas Telford, Mona Road, Menai Bridge, Anglesey, LL59 5EA",1997-11-24,Active,Private company limited by guarantee without share capital,40.03,30,69.58,0,1,2,2,0.88,0.66,0.66
Milford Haven Heritage and Maritime Museum,https://www.milfordhavenmuseum.co.uk/,1954998,MILFORD HAVEN HERITAGE AND MARITIME MUSEUM,"The Docks, Milford Haven, Dyfed, SA73 3AF",1985-11-05,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,3.73,29,78.55,0,,,2,0.96,0.27,0.27
"Mold Libray, Museum and Gallery",https://aura.wales/libraries/mold-library/,,,,,,,67.39,26,59.7,0,2,3,4,0.86,0.27,0.27
Monmouth Castle and Regimental Museum,http://www.monmouthcastlemuseum.org.uk/,SC173103,THE ROYAL SCOTS DRAGOON GUARDS REGIMENTAL AND MUSEUM SHOP LIMITED,"Home Headquarters, The Royal Scots Dragoon Guards, The Castle, Edinburgh, EH1 2YT",1997-03-01,Active,Private company limited by guarantee without share capital,6.27,34,76.86,0,,2,1,0.93,1,1
Monmouth Museum,https://www.monmouthmuseum.org/,,,,,,,12.15,44,63.66,0,1,1,1,0.98,0.36,0.36
Museum of Cardiff,https://museum.wales/cardiff/,,,,,,,1708.47,59,63.86,89,1,2,1,0.98,0.66,0.66
"Museum of Modern Art, Machynlleth",https://moma.cymru/en/,868757,MUSEUM OF MODERN ART LIMITED,"30 Pembroke St, Oxford, OX1 1BP",1966-01-12,Active,Private company limited by guarantee without share capital,105.67,29,61.73,0,2,2,1,0.88,0.64,0.64
"Museum of Speed, Pendine ",NO WEBSITE,4466561,THE PENDINE ACADEMY OF SOCIAL CARE LTD,"Bromfield House Ellice Way, Wrexham Technology Park, Wrexham, Wales, LL13 7YW",2002-06-21,Active,Private limited Company,,ERROR,,,,,,,,
Museum of Welsh Cricket,https://www.glamorgancricket.com/museum,6493706,WELSH AREA FIRE ENGINE RESTORATION SOCIETY (MUSEUM OF FIRE),"112 Old Road, Neath, West Glam, SA11 2BU",2008-02-05,Dissolved,Private Limited Company by guarantee without share capital use of 'Limited' exemption,143.27,56,59.64,0,1,3,2,0.64,0.34,0.34
Nantgarw China Works Museum ,http://nantgarwchinaworksmuseum.co.uk/,6113689,NANTGARW CHINA WORKS TRUST,"Nantgarw House, Tyla Gwyn, Nantgarw, Rhondda Cynon Taff, CF15 7TB",2007-02-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,83.59,28,78.65,0,2,3,1,0.96,0.31,0.31
Narberth Museum ,https://www.narberthmuseum.co.uk/,2208841,NARBERTH MUSEUM LIMITED,"The Bonded Stores, Church Street, Narberth, Dyfed, SA67 7BH",1987-12-28,Active,Private company limited by guarantee without share capital,353.12,34,72.53,4,1,3,3,0.9,0.28,0.28
Narrow Gauge Railway Museum ,https://narrowgaugerailwaymuseum.org.uk/,3549477,MOSELEY RAILWAY TRUST,"11 Ashwood Road, Disley, Stockport, Cheshire, SK12 2EL",1998-04-21,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,76.98,36,60.31,0,,1,2,0.89,0.59,0.59
National Coracle Centre ,NO WEBSITE,4566469,THE CORACLE CENTRE LIMITED,"The Old School, The Quay, Carmarthen, Carmarthenshire, SA31 3LN",2002-10-18,Dissolved,Private limited Company,,ERROR,,,,,,,,
National Museum Cardiff ,https://museum.wales/cardiff/,1948578,EUREKA! THE NATIONAL CHILDREN'S MUSEUM.,"Discovery Road, Halifax, HX1 2NE",1985-09-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,1708.47,59,63.86,89,1,2,1,0.98,0.67,0.67
National Roman Legion Museum ,https://museum.wales/roman/,1948578,EUREKA! THE NATIONAL CHILDREN'S MUSEUM.,"Discovery Road, Halifax, HX1 2NE",1985-09-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,1708.47,59,55.61,85,1,2,1,0.98,0.66,0.66
National Slate Museum ,https://museum.wales/slate/,1948578,EUREKA! THE NATIONAL CHILDREN'S MUSEUM.,"Discovery Road, Halifax, HX1 2NE",1985-09-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,1708.47,59,64.57,87,1,2,1,0.98,0.67,0.67
National Waterfront Museum ,https://museum.wales/swansea/,4255473,NATIONAL WATERFRONT MUSEUM SWANSEA,"National Waterfront Museum, Oystermouth Road, Maritime Quarter, Swansea, SA1 3RD",2001-07-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,1708.47,59,63.86,89,1,2,1,0.98,0.76,0.76
National Wool Museum ,https://museum.wales/wool/,1948578,EUREKA! THE NATIONAL CHILDREN'S MUSEUM.,"Discovery Road, Halifax, HX1 2NE",1985-09-19,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,1708.47,59,63.76,83,1,2,1,0.98,0.61,0.61
"Newport Museum and Art Gallery

Temp closure",https://www.newport.gov.uk/heritage/en/Museum-Art-Gallery/Museum-Art-Gallery.aspx,,,,,,,228.64,29,61.43,28,,3,1,0.82,0.65,0.65
Newtown Textile Museum ,https://www.newtowntextilemuseum.co.uk/,,,,,,,10.71,17,63.7,0,2,3,3,0.68,0.38,0.38
Old Bell Museum ,http://www.oldbellmuseum.org.uk/,1736409,OLD FLYING MACHINE (AIR MUSEUM) COMPANY LIMITED(THE),"3a Headley Road, Woodley, Reading, RG5 4JB",1983-07-04,Active,Private limited Company,23.2,36,61.33,0,,,,1,0.62,0.62
Oriel Plas Glyn y Weddw,https://www.oriel.org.uk/,2994771,CWMNI PLAS GLYN'Y - WEDDW LIMITED,"Oriel Plas Glyn Y Weddw, Llanbedrog, Pwllheli, Gwynedd, LL53 7TT",1994-11-25,Active,Private company limited by guarantee without share capital,42.44,24,57.81,0,1,4,2,0.74,0.72,0.72
Oriel Ynys MÃ´n ,https://www.orielmon.org/,12137447,YNYS MÃ”N IT LTD,"Llwyn Grug, Gwalchmai, Caergybi, Ynys Mon, United Kingdom, LL65 4RE",2019-08-02,Dissolved,Private limited Company,30.75,35,117.16,2,,3,1,1,0.29,0.29
Parc Howard Museum ,https://www.discovercarmarthenshire.com/places/llanelli-the-millennium-coastal-park/parc-howard-museum-gardens/,2602300,HOWARD'S LOGISTICS LIMITED,"West Hay,Stamford Road, Kings Cliffe, Peterborough, PE8 6XX",1991-04-17,Active,Private limited Company,74.68,37,56.05,20,1,1,1,0.97,0.33,0.33
Pembroke Dock Heritage Trust ,NO WEBSITE,5920931,THE PEMBROKE DOCK HERITAGE TRUST LIMITED,"Royal Dockyard Chapel, Meyrick Owen Way, Pembroke Dock, Dyfed, SA72 6WS",2006-08-31,Active,Private company limited by guarantee without share capital,,ERROR,,,,,,,,
Pembroke Museum,https://pembrokemuseum.wales/,12617659,PEMBROKESHIRE MOTOR MUSEUM DEVELOPMENTS LTD,"45 High Street, Haverfordwest, Pembrokeshire, Wales, SA61 2BP",2020-05-22,Active,Private limited Company,32.21,26,61.06,41,2,2,2,0.88,0.26,0.26
Penmaenmawr Museum ,https://www.penmaenmawrmuseum.co.uk/,,,,,,,14.64,25,60.51,2,,2,,0.9,0.07,0.07
Penrhos Cottage ,https://www.visitpembrokeshire.com/attraction-listing/penrhos-cottage,2781483,PENRHOS LIMITED,"31 Ambrose Lane, Harpenden, Herts, AL5 4DG",1993-01-20,Liquidation,Private limited Company,400.03,29,69.38,5,,1,1,0.88,0.24,0.24
Penrhyn Castle ,https://www.nationaltrust.org.uk/visit/wales/penrhyn-castle-and-garden,498810,ALFRED MCALPINE SLATE PENRHYN LIMITED,"Pinnacle House, Breedon-On-The-Hill, Derby, England, DE73 8AP",1951-08-24,Active,Private limited Company,7795.49,36,67.86,194,1,2,,0.79,0.22,0.22
Plas Newydd ,NO WEBSITE,12588769,PLAS NEWYDD LTD,"Plas Newydd Llanddeusant, Anglesey, Holyhead, United Kingdom, LL65 4AD",2020-05-06,Active,Private limited Company,,ERROR,,,,,,,,
Plas Newydd ,https://www.nationaltrust.org.uk/visit/wales/plas-newydd-house-and-garden,12588769,PLAS NEWYDD LTD,"Plas Newydd Llanddeusant, Anglesey, Holyhead, United Kingdom, LL65 4AD",2020-05-06,Active,Private limited Company,7795.49,36,74.9,190,1,2,,0.79,0.24,0.24
Plas yn Rhiw ,https://www.nationaltrust.org.uk/visit/wales/plas-yn-rhiw,7864646,PLAS YNYSHIR HALL HOTEL LIMITED,"Ynyshir Hall, Eglwys Fach, Machynlleth, Powys, Wales, SY20 8TA",2011-11-29,Active,Private limited Company,7795.49,34,74.49,180,1,2,,0.79,0.26,0.26
Pontypridd Museum ,https://www.pontypriddmuseum.wales/,14383333,ACCUROCARE PONTYPRIDD LIMITED,"Suite 4 Thame House Thame Road, Haddenham, Aylesbury, England, HP17 8HU",2022-09-28,Active,Private limited Company,3.6,36,57.67,51,1,3,4,0.83,0.35,0.35
Porthcawl Museum ,https://www.porthcawlmuseum.com/,,,,,,,174.7,1,33.51,56,,3,1,,,
Porthmadog Maritime Museum,https://portmm.org/,6889700,CARDIGAN AND DISTRICT AGRICULTURAL & MARITIME MUSEUM,"Cwmarch, Penparc, Cardigan, Dyfed, SA43 2AB",2009-04-28,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,53.39,31,74.59,1,1,3,1,0.96,0.3,0.3
Powis Castle,https://www.nationaltrust.org.uk/visit/wales/powis-castle-and-garden,8428584,POWIS CASTLE SHOOT LIMITED,"Stockton House, Red Lane, Welshpool, Powys, SY21 8RH",2013-03-04,Active,Private limited Company,7795.49,38,76.42,195,1,2,,0.79,0.24,0.24
Powysland Museum ,NO WEBSITE,6294984,"POWYSLAND CLUB, CLWB POWYSLAND","Triangle House, Union  Street, Welshpool, Powys, SY21 7PG",2007-06-27,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,,ERROR,,,,,,,,
Radnorshire Museum,https://en.powys.gov.uk/radnorshiremuseum,4243987,EAST RADNORSHIRE CARE LIMITED,"Old School, Scottleton Street, Presteigne, Powys, LD8 2BL",2001-06-29,Active,Private company limited by guarantee without share capital,2524.44,81,59.8,22,,,,1,0.69,0.69
Rhondda Heritage Park - Welsh Mining Experience,https://www.rctcbc.gov.uk/EN/Tourism/RhonddaHeritagePark/Home.aspx,2231595,FFESTINIOG AND WELSH HIGHLAND RAILWAYS HERITAGE LIMITED,"Harbour Station, Porthmadog, Gwynedd, LL49 9NF",1988-03-17,Active,Private limited Company,1163.55,23,79.16,24,2,3,2,0.89,0.35,0.35
Rhyl Miniature Railway ,https://rhylminiaturerailway.co.uk/,13971700,RHYL MINIATURE RAILWAY LIMITED,"10 Cilnant, Mold, Flintshire, Wales, CH7 1GG",2022-03-11,Active,Private limited Company,31.64,21,76.01,0,1,3,3,0.68,0.47,0.47
Rhyl Museum,NO WEBSITE,,,,,,,,ERROR,,,,,,,,
Robert Owen Memorial Museum,https://www.robert-owen-museum.org.uk,234247,ROBERT OWEN MEMORIAL MUSEUM(THE),"The Cross, Broad Street, Newtown, Powys, SY16 2BB",1928-10-22,Active,Private company limited by guarantee without share capital,0.51,38,78.96,6,2,2,4,0.84,0.32,0.32
Royal Mint Museum,https://www.royalmintmuseum.org.uk/,7105875,THE ROYAL MINT MUSEUM,"The Royal Mint, Llantrisant, Pontyclun, Mid Glamorgan, CF72 8YT",2009-12-15,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,125.13,21,58.99,78,1,3,2,0.77,0.4,0.4
Royal Welch Fusiliers Regimental Museum ,https://www.rwfmuseum.org.uk/index.php,13462932,THE ROYAL WELCH FUSILIERS MUSEUM TRUST LTD,"Rhq Hightown Barracks, Kingsmills Road, Wrexham, United Kingdom, LL13 8RD",2021-06-17,Active,Private company limited by guarantee without share capital,17.04,21,65.93,4,2,3,5,0.82,0.12,0.12
Ruthin Gaol,NO WEBSITE,1950221,BUCKINGHAM OLD GAOL TRUST,"The Old Gaol, Market Hill, Buckingham, MK18 1JX",1985-09-25,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,,ERROR,,,,,,,,
Scolton Manor ,https://www.visitpembrokeshire.com/attraction-listing/scolton-manor,4194839,SCOLTON ENTERPRISES LIMITED,"46 High Street, Haverfordwest, Pembrokeshire, SA61 2DA",2001-04-05,Active,Private limited Company,400.03,29,68.47,4,,1,2,0.87,0.22,0.22
Sir Henry Jones Museum ,https://www.sirhenryjonesmuseum.org.uk/,7965957,SIR JOHN SOANE'S MUSEUM TRUST,"13 Lincoln's Inn Fields, London, WC2A 3BP",2012-02-27,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,1.45,-5,90.46,0,,3,2,,,
South Wales Minerâ€™s Museum,https://www.swminers.co.uk/,4891699,SOUTH WALES MINERS MUSEUM,"Office 5 1st Floor Voluntary House, 112-113 Commercial Street, Maesteg, Mid Glamorgan, CF34 9DL",2003-09-08,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,17.71,12,64.2,0,1,1,3,0.8,0.26,0.26
St Fagans: National History Museum ,https://museum.wales/stfagans/,2041438,NATIONAL MUSEUM OF LABOUR HISTORY(THE),"Peoples History Museum Left Bank, Spinninhfields, Manchester, M3 3ER",1986-07-28,Active,Private company limited by guarantee without share capital,1708.47,61,56.32,90,1,2,1,0.98,0.7,0.7
